drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
doxorubicin,93,10/10/2014,4.658533021,4.199187081,1.84502534,-0.912758215,-2.770098883,-1.575252619,-1.906367379,2.057234987
doxorubicin,92,9/29/2012,4.160424482,3.785877923,1.539142811,-0.652545788,-2.505673591,-0.841778736,-1.093702324,1.908553089
doxorubicin,92,6/26/2015,3.713700892,3.811624711,1.20642383,-0.695253339,-1.645095358,-1.72726069,-1.603247399,1.503648528
doxorubicin,91,12/23/2012,3.858557595,4.043143412,1.427515541,-0.393911917,-2.424746457,-0.958157421,-0.978056049,1.60551614
doxorubicin,91,4/24/2014,4.294800917,3.946051627,1.500681822,-0.701786209,-2.219704125,-1.95128901,-1.752270877,1.750218911
doxorubicin,91,3/21/2013,4.543621848,4.142957954,1.547267099,-0.821274028,-1.677021807,-1.100958099,-1.341750819,1.949272025
doxorubicin,91,7/21/2014,4.935429254,4.224253746,1.763844715,-0.333770714,-2.175627954,-1.887551976,-2.581848993,2.100592389
doxorubicin,91,12/11/2012,4.375993675,4.04071327,1.445524822,-0.551621275,-1.9903309,-1.069759492,-1.444125508,1.435621233
doxorubicin,91,6/1/2014,4.561985663,4.371097512,1.6919828,-1.130223509,-1.66607684,-2.181972629,-1.835497232,1.45567503
doxorubicin,91,5/13/2015,4.286514337,4.222869177,1.508662227,-0.256162429,-1.799153109,-1.467350054,-1.688055994,1.966322251
doxorubicin,91,2/1/2013,5.109474536,4.658740427,2.071347668,-0.430145347,-2.273183274,-1.830844548,-1.15200505,1.810355133
doxorubicin,91,3/21/2014,4.169660457,3.715484187,1.661583977,-0.66541845,-1.720788926,-1.561873895,-2.707825333,1.61786718
doxorubicin,91,12/17/2011,3.379621292,3.576423131,0.774663608,-0.399491456,-1.263174684,-1.052015567,-1.244826747,0.710678903
doxorubicin,90,4/8/2012,4.009809695,3.764684067,1.456311658,-0.2330576,-1.222765854,-0.670401635,-1.571302504,2.006252328
doxorubicin,90,10/16/2013,4.11354719,4.096861539,1.101321187,-0.485334512,-1.770934011,-1.769060645,-2.010888316,1.710493383
doxorubicin,90,10/6/2014,4.941481642,4.614594706,1.790531892,-0.974670476,-2.163842828,-1.781176198,-1.858934662,2.096132089
doxorubicin,90,10/28/2013,4.759526397,4.055282436,1.798520265,-0.807354922,-2.247927513,-2.081638469,-1.759764741,2.415037499
doxorubicin,90,7/21/2014,4.877345256,4.303121351,1.988030744,-0.816260944,-1.87445669,-1.850870136,-2.05558228,2.0373038
